 111   4.81422251e+02  4.99011278e-02  2.43e+02 1.20e+00  1.74e+03  9.66e+02  3.09e+00 1.64e+03 9.66e+02  2.40e-01 7.37e-03   3064s
 112   4.91631306e+02  4.99011278e-02  2.48e+02 1.19e+00  1.72e+03  9.89e+02  3.07e+00 1.67e+03 9.89e+02  2.35e-01 6.99e-03   3092s
 113   5.01524602e+02  4.99011278e-02  2.53e+02 1.18e+00  1.71e+03  1.01e+03  3.05e+00 1.70e+03 1.01e+03  2.29e-01 6.62e-03   3119s
 114   5.11119695e+02  4.99011278e-02  2.58e+02 1.17e+00  1.70e+03  1.03e+03  3.04e+00 1.72e+03 1.03e+03  2.24e-01 6.29e-03   3146s
 115   5.20442632e+02  4.99011278e-02  2.63e+02 1.17e+00  1.70e+03  1.05e+03  3.02e+00 1.75e+03 1.05e+03  2.19e-01 5.99e-03   3175s
 116   5.29499719e+02  4.99011278e-02  2.68e+02 1.16e+00  1.69e+03  1.07e+03  3.01e+00 1.78e+03 1.07e+03  2.14e-01 5.70e-03   3203s
 117   4.28725226e+02  4.66183184e-02  2.17e+02 9.38e-01  1.39e+03  1.09e+00  2.99e+00 1.80e+03 1.10e+03  7.78e-01 1.91e-01   3229s
 118   4.42364374e+02  4.66183184e-02  2.24e+02 9.28e-01  1.38e+03  8.52e+02  3.19e+00 2.05e+03 8.52e+02  2.83e-01 1.09e-02   3257s
 119   4.55336772e+02  4.66183184e-02  2.30e+02 9.18e-01  1.37e+03  8.78e+02  3.17e+00 2.09e+03 8.78e+02  2.75e-01 1.01e-02   3284s
 120   4.67868646e+02  4.66183184e-02  2.37e+02 9.10e-01  1.35e+03  9.03e+02  3.14e+00 2.13e+03 9.03e+02  2.68e-01 9.49e-03   3311s
 121   4.79958276e+02  4.66183184e-02  2.43e+02 9.01e-01  1.34e+03  9.28e+02  3.12e+00 2.18e+03 9.28e+02  2.61e-01 8.92e-03   3339s
