
--------------- Linear optimization problem characteristics ---------------
Seed:                    96
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        8.15e-03
Norm of vector c:        2.81e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.004 +0.015 +0.012 ... +0.006 -0.015 -0.007]
                          [+0.010 +0.007 +0.002 ... +0.000 -0.011 -0.001]]

RHS vector b:            [-0.003 -0.007]
Obj vector c:            [-0.017 -0.034 -0.024 ... -0.011 +0.037 +0.013]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.007 +0.032 +0.028 ... +0.020 +0.025 +0.013]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-1.779 -0.914]

Optimal objective:       +1.27274194e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.61053148e+01 -2.88476232e-02  2.49e-02 1.32e+01  1.45e+04 *4.44e-16  4.00e+00 1.00e+00 1.45e+00  9.94e-01 9.87e-01     24s
  49   4.15434068e+02  1.73621551e-02  2.65e+02 7.94e-01  1.03e+03  1.42e+03  3.78e+00 3.64e+03 1.42e+03  1.69e-01 3.41e-03   1357s
  50   4.21735908e+02  1.73621551e-02  2.69e+02 7.91e-01  1.03e+03  1.44e+03  3.79e+00 3.70e+03 1.44e+03  1.66e-01 3.29e-03   1386s
  51   4.27927853e+02  1.73621551e-02  2.73e+02 7.89e-01  1.03e+03  1.47e+03  3.80e+00 3.76e+03 1.47e+03  1.64e-01 3.17e-03   1416s
  52   4.34029272e+02  1.73621551e-02  2.77e+02 7.86e-01  1.02e+03  1.50e+03  3.81e+00 3.82e+03 1.50e+03  1.61e-01 3.06e-03   1445s
  53   4.40028734e+02  1.73621551e-02  2.80e+02 7.84e-01  1.02e+03  1.52e+03  3.82e+00 3.89e+03 1.52e+03  1.58e-01 2.95e-03   1474s
  54   4.45939025e+02  1.73621551e-02  2.84e+02 7.82e-01  1.02e+03  1.55e+03  3.83e+00 3.95e+03 1.55e+03  1.56e-01 2.85e-03   1504s
  55   4.51760808e+02  1.73621551e-02  2.87e+02 7.80e-01  1.02e+03  1.57e+03  3.84e+00 4.01e+03 1.57e+03  1.54e-01 2.76e-03   1534s
  56   4.57489044e+02  1.73621551e-02  2.91e+02 7.77e-01  1.01e+03  1.60e+03  3.85e+00 4.07e+03 1.60e+03  1.51e-01 2.67e-03   1563s
  57   4.63135912e+02  1.73621551e-02  2.94e+02 7.75e-01  1.01e+03  1.62e+03  3.86e+00 4.13e+03 1.62e+03  1.49e-01 2.58e-03   1593s
  58   4.68702014e+02  1.73621551e-02  2.98e+02 7.74e-01  1.01e+03  1.65e+03  3.87e+00 4.19e+03 1.65e+03  1.47e-01 2.50e-03   1624s
  59   4.74187976e+02  1.73621551e-02  3.01e+02 7.72e-01  1.01e+03  1.68e+03  3.89e+00 4.25e+03 1.68e+03  1.45e-01 2.42e-03   1653s
  60   4.79594449e+02  1.73621551e-02  3.04e+02 7.70e-01  1.00e+03  1.70e+03  3.90e+00 4.31e+03 1.70e+03  1.43e-01 2.35e-03   1683s
  61   4.84922105e+02  1.73621551e-02  3.07e+02 7.68e-01  1.00e+03  1.73e+03  3.91e+00 4.37e+03 1.73e+03  1.40e-01 2.28e-03   1713s
  62   4.90176893e+02  1.73621551e-02  3.11e+02 7.66e-01  1.00e+03  1.75e+03  3.92e+00 4.43e+03 1.75e+03  1.39e-01 2.21e-03   1743s
  63   4.95364572e+02  1.73621551e-02  3.14e+02 7.65e-01  9.98e+02  1.78e+03  3.93e+00 4.49e+03 1.78e+03  1.37e-01 2.15e-03   1773s
  64   5.00480483e+02  1.73621551e-02  3.17e+02 7.63e-01  9.96e+02  1.80e+03  3.94e+00 4.55e+03 1.80e+03  1.35e-01 2.08e-03   1803s
  65   5.05525233e+02  1.73621551e-02  3.20e+02 7.62e-01  9.95e+02  1.82e+03  3.96e+00 4.61e+03 1.82e+03  1.33e-01 2.02e-03   1833s
  66   5.10504420e+02  1.73621551e-02  3.23e+02 7.60e-01  9.93e+02  1.85e+03  3.97e+00 4.67e+03 1.85e+03  1.31e-01 1.97e-03   1862s
  67   5.15418554e+02  1.73621551e-02  3.26e+02 7.59e-01  9.91e+02  1.87e+03  3.98e+00 4.73e+03 1.87e+03  1.30e-01 1.91e-03   1892s
  68   5.20268155e+02  1.73621551e-02  3.29e+02 7.57e-01  9.89e+02  1.90e+03  3.99e+00 4.79e+03 1.90e+03  1.28e-01 1.86e-03   1923s
  69   4.74250668e+02  1.68379519e-02  3.00e+02 6.90e-01  9.10e+02  9.16e-01  4.00e+00 4.85e+03 1.92e+03  6.33e-01 8.83e-02   1949s
  70   4.80114011e+02  1.68379519e-02  3.03e+02 6.89e-01  9.08e+02  1.66e+03  3.91e+00 4.74e+03 1.66e+03  1.48e-01 2.62e-03   1979s
  71   4.85727927e+02  1.68379519e-02  3.07e+02 6.87e-01  9.06e+02  1.69e+03  3.92e+00 4.81e+03 1.69e+03  1.46e-01 2.46e-03   2009s
