  83   5.16722618e+01  6.35509766e-03  1.57e+02 6.58e-01  9.79e+02  4.91e+02  3.90e+00 2.61e+03 4.91e+02  4.64e-01 3.74e-02   4317s
  84   5.45712874e+01  6.35509766e-03  1.70e+02 6.37e-01  9.49e+02  5.32e+02  3.90e+00 2.78e+03 5.32e+02  4.44e-01 3.31e-02   4362s
  85   5.72162005e+01  6.35509766e-03  1.81e+02 6.18e-01  9.24e+02  5.71e+02  3.90e+00 2.95e+03 5.71e+02  4.25e-01 2.95e-02   4403s
  86   5.96291838e+01  6.35509766e-03  1.93e+02 6.02e-01  9.02e+02  6.10e+02  3.91e+00 3.11e+03 6.10e+02  4.07e-01 2.65e-02   4446s
  87   6.18316270e+01  6.35509766e-03  2.04e+02 5.87e-01  8.82e+02  6.48e+02  3.92e+00 3.27e+03 6.48e+02  3.91e-01 2.39e-02   4488s
  88   6.38456422e+01  6.35509766e-03  2.14e+02 5.74e-01  8.65e+02  6.86e+02  3.92e+00 3.43e+03 6.86e+02  3.76e-01 2.17e-02   4548s
  89   6.56875174e+01  6.35509766e-03  2.24e+02 5.63e-01  8.50e+02  7.23e+02  3.94e+00 3.59e+03 7.23e+02  3.62e-01 1.97e-02   4602s
  90   6.73690922e+01  6.35509766e-03  2.34e+02 5.53e-01  8.36e+02  7.59e+02  3.95e+00 3.75e+03 7.59e+02  3.49e-01 1.80e-02   4640s
  91   6.89066382e+01  6.35509766e-03  2.43e+02 5.44e-01  8.23e+02  7.96e+02  3.96e+00 3.90e+03 7.96e+02  3.37e-01 1.66e-02   4682s
  92   7.03118607e+01  6.35509766e-03  2.52e+02 5.35e-01  8.12e+02  8.31e+02  3.98e+00 4.05e+03 8.31e+02  3.26e-01 1.53e-02   4724s
  93   7.15969382e+01  6.35509766e-03  2.61e+02 5.28e-01  8.01e+02  8.66e+02  3.99e+00 4.20e+03 8.66e+02  3.16e-01 1.41e-02   4767s
  94   2.19106832e+01  7.45128346e-04  7.25e+01 1.47e-01  2.39e+02  1.38e+00  4.01e+00 4.35e+03 9.01e+02  8.26e-01 7.22e-01   4808s
  95  -5.36667198e+00  7.45128346e-04  5.27e+01 1.18e-01  1.96e+02  6.38e+01  3.99e+00 1.09e+04 6.38e+01  7.65e-01 1.96e-01   4850s
  96  -2.97761779e+01  7.45128346e-04  3.85e+01 1.02e-01  1.72e+02  1.19e+02  3.95e+00 1.41e+04 1.19e+02  7.08e-01 1.35e-01   4894s
  97  -5.32307258e+01  7.45128346e-04  3.27e+01 9.11e-02  1.55e+02  1.72e+02  3.89e+00 1.68e+04 1.72e+02  6.62e-01 1.07e-01   4957s
  98  -7.55991773e+01  7.45128346e-04  3.80e+01 8.31e-02  1.42e+02  2.24e+02  3.84e+00 1.94e+04 2.24e+02  6.22e-01 8.73e-02   5043s
  99  -9.69367065e+01  7.45128346e-04  4.99e+01 7.71e-02  1.33e+02  2.75e+02  3.78e+00 2.19e+04 2.75e+02  5.86e-01 7.27e-02   5130s
 100  -1.17225015e+02  7.45128346e-04  6.42e+01 7.24e-02  1.25e+02  3.26e+02  3.72e+00 2.44e+04 3.26e+02  5.53e-01 6.13e-02   5177s
 101  -1.36573386e+02  7.45128346e-04  7.91e+01 6.86e-02  1.19e+02  3.76e+02  3.66e+00 2.67e+04 3.76e+02  5.24e-01 5.26e-02   5220s
 102  -1.55033131e+02  7.45128346e-04  9.39e+01 6.54e-02  1.15e+02  4.25e+02  3.60e+00 2.91e+04 4.25e+02  4.98e-01 4.55e-02   5265s
 103  -1.72644777e+02  7.45128346e-04  1.08e+02 6.28e-02  1.10e+02  4.74e+02  3.54e+00 3.13e+04 4.74e+02  4.74e-01 3.98e-02   5305s
 104  -1.89499459e+02  7.45128346e-04  1.22e+02 6.06e-02  1.07e+02  5.23e+02  3.49e+00 3.35e+04 5.23e+02  4.52e-01 3.51e-02   5379s
 105  -2.05646267e+02  7.45128346e-04  1.36e+02 5.87e-02  1.04e+02  5.71e+02  3.44e+00 3.57e+04 5.71e+02  4.32e-01 3.12e-02   5424s
 106  -2.21125268e+02  7.45128346e-04  1.49e+02 5.71e-02  1.01e+02  6.19e+02  3.39e+00 3.78e+04 6.19e+02  4.14e-01 2.79e-02   5469s
 107  -2.35996222e+02  7.45128346e-04  1.62e+02 5.57e-02  9.89e+01  6.66e+02  3.34e+00 3.99e+04 6.66e+02  3.97e-01 2.51e-02   5515s
 108  -2.50291450e+02  7.45128346e-04  1.74e+02 5.44e-02  9.68e+01  7.13e+02  3.30e+00 4.20e+04 7.13e+02  3.81e-01 2.27e-02   5561s
 109  -2.64059425e+02  7.45128346e-04  1.86e+02 5.33e-02  9.50e+01  7.60e+02  3.25e+00 4.40e+04 7.60e+02  3.67e-01 2.06e-02   5607s
 110  -2.67557743e+02  7.45128346e-04  1.89e+02 5.30e-02  9.46e+01  8.06e+02  3.21e+00 4.60e+04 8.06e+02  3.54e-01 4.96e-03   5659s
 111  -2.67558078e+02  7.45128346e-04  1.89e+02 5.30e-02  9.46e+01  8.18e+02  3.20e+00 4.66e+04 8.18e+02  3.50e-01 4.69e-07   5804s

The solution quality is limited by the precision of the linear system solver.

