
--------------- Linear optimization problem characteristics ---------------
Seed:                    15
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.27e-02
Norm of vector c:        2.25e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.010 -0.010 -0.011 ... +0.008 +0.011 +0.014]
                          [+0.015 -0.004 -0.012 ... +0.010 +0.016 +0.014]]

RHS vector b:            [+0.011 +0.006]
Obj vector c:            [-0.009 -0.006 +0.004 ... -0.005 -0.010 -0.002]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.029 +0.006 +0.002 ... +0.032 +0.002 +0.015]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.322 -1.501]

Optimal objective:       +5.09447745e-03
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
  48   1.76660672e+02  1.10342017e-02  2.17e+02 9.78e-01  1.35e+03  1.10e+03  3.64e+00 2.34e+03 1.10e+03  2.61e-01 9.01e-03   2551s
  49   1.83156669e+02  1.10342017e-02  2.25e+02 9.70e-01  1.34e+03  1.14e+03  3.63e+00 2.41e+03 1.14e+03  2.54e-01 8.49e-03   2635s
  50   1.89492399e+02  1.10342017e-02  2.33e+02 9.62e-01  1.33e+03  1.18e+03  3.62e+00 2.48e+03 1.18e+03  2.47e-01 8.00e-03   2720s
  51   1.95681353e+02  1.10342017e-02  2.40e+02 9.55e-01  1.32e+03  1.22e+03  3.61e+00 2.54e+03 1.22e+03  2.41e-01 7.56e-03   2813s
  52   2.01730455e+02  1.10342017e-02  2.47e+02 9.48e-01  1.31e+03  1.26e+03  3.60e+00 2.61e+03 1.26e+03  2.36e-01 7.15e-03   2888s
  53   2.07646486e+02  1.10342017e-02  2.54e+02 9.41e-01  1.30e+03  1.29e+03  3.59e+00 2.68e+03 1.29e+03  2.30e-01 6.78e-03   2933s
  54   2.13436074e+02  1.10342017e-02  2.61e+02 9.35e-01  1.29e+03  1.33e+03  3.58e+00 2.74e+03 1.33e+03  2.25e-01 6.43e-03   2973s
  55   2.19105685e+02  1.10342017e-02  2.68e+02 9.30e-01  1.29e+03  1.37e+03  3.58e+00 2.81e+03 1.37e+03  2.20e-01 6.12e-03   3017s
  56   2.24656065e+02  1.10342017e-02  2.75e+02 9.24e-01  1.28e+03  1.40e+03  3.57e+00 2.87e+03 1.40e+03  2.15e-01 5.82e-03   3057s
  57   2.30093535e+02  1.10342017e-02  2.81e+02 9.19e-01  1.27e+03  1.44e+03  3.56e+00 2.94e+03 1.44e+03  2.10e-01 5.54e-03   3102s
  58   2.35424239e+02  1.10342017e-02  2.87e+02 9.14e-01  1.27e+03  1.48e+03  3.55e+00 3.00e+03 1.48e+03  2.06e-01 5.29e-03   3174s
  59   2.40648914e+02  1.10342017e-02  2.94e+02 9.10e-01  1.26e+03  1.51e+03  3.54e+00 3.06e+03 1.51e+03  2.02e-01 5.04e-03   3214s
  60   2.45778651e+02  1.10342017e-02  3.00e+02 9.05e-01  1.26e+03  1.55e+03  3.54e+00 3.13e+03 1.55e+03  1.98e-01 4.83e-03   3256s
  61   2.50808998e+02  1.10342017e-02  3.06e+02 9.01e-01  1.25e+03  1.58e+03  3.53e+00 3.19e+03 1.58e+03  1.94e-01 4.61e-03   3300s
  62   2.55750662e+02  1.10342017e-02  3.11e+02 8.97e-01  1.25e+03  1.62e+03  3.52e+00 3.25e+03 1.62e+03  1.90e-01 4.42e-03   3345s
  63   2.60599367e+02  1.10342017e-02  3.17e+02 8.93e-01  1.24e+03  1.65e+03  3.51e+00 3.31e+03 1.65e+03  1.86e-01 4.24e-03   3390s
  64   2.65365441e+02  1.10342017e-02  3.23e+02 8.90e-01  1.24e+03  1.69e+03  3.51e+00 3.38e+03 1.69e+03  1.83e-01 4.07e-03   3434s
  65   2.70044755e+02  1.10342017e-02  3.28e+02 8.86e-01  1.23e+03  1.72e+03  3.50e+00 3.44e+03 1.72e+03  1.80e-01 3.90e-03   3479s
  66   2.74647266e+02  1.10342017e-02  3.34e+02 8.83e-01  1.23e+03  1.76e+03  3.49e+00 3.50e+03 1.76e+03  1.76e-01 3.75e-03   3554s
  67   2.79173494e+02  1.10342017e-02  3.39e+02 8.80e-01  1.22e+03  1.79e+03  3.49e+00 3.56e+03 1.79e+03  1.73e-01 3.61e-03   3639s
  68   2.83624004e+02  1.10342017e-02  3.44e+02 8.77e-01  1.22e+03  1.83e+03  3.48e+00 3.62e+03 1.83e+03  1.70e-01 3.47e-03   3717s
  69   2.88003780e+02  1.10342017e-02  3.49e+02 8.74e-01  1.22e+03  1.86e+03  3.47e+00 3.68e+03 1.86e+03  1.67e-01 3.35e-03   3761s
  70   2.92313337e+02  1.10342017e-02  3.54e+02 8.71e-01  1.21e+03  1.90e+03  3.47e+00 3.74e+03 1.90e+03  1.65e-01 3.23e-03   3806s
  71   2.96553220e+02  1.10342017e-02  3.59e+02 8.68e-01  1.21e+03  1.93e+03  3.46e+00 3.80e+03 1.93e+03  1.62e-01 3.11e-03   3851s
