
--------------- Linear optimization problem characteristics ---------------
Seed:                    48
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        7.52e-03
Norm of vector c:        2.69e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.007 -0.009 -0.001 ... +0.002 +0.013 +0.013]
                          [-0.004 +0.001 -0.005 ... +0.003 +0.008 +0.010]]

RHS vector b:            [+0.005 -0.005]
Obj vector c:            [-0.013 -0.017 +0.001 ... +0.003 +0.023 +0.021]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.001 +0.031 +0.010 ... +0.003 +0.014 +0.019]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.960 -0.398]

Optimal objective:       +1.28053724e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.71578969e+01 -9.11790644e-02  1.41e-01 3.60e+01  3.95e+04 *6.28e-16  4.00e+00 1.00e+00 3.63e+00  9.82e-01 9.64e-01     24s
  71  -2.57476058e+02 -2.93340021e-02  1.52e+02 9.31e+00  1.16e+04  6.53e+02  3.02e+00 1.74e+02 6.53e+02  2.09e-01 5.35e-03   1781s
  72  -2.62177441e+02 -2.93340021e-02  1.55e+02 9.26e+00  1.15e+04  6.66e+02  3.01e+00 1.76e+02 6.66e+02  2.05e-01 5.11e-03   1805s
  73  -2.66765699e+02 -2.93340021e-02  1.58e+02 9.22e+00  1.15e+04  6.78e+02  3.00e+00 1.78e+02 6.78e+02  2.01e-01 4.89e-03   1830s
  74  -2.28319539e+02 -2.08857412e-02  1.35e+02 7.89e+00  9.97e+03  6.57e-01  2.99e+00 1.80e+02 6.91e+02  7.27e-01 1.44e-01   1855s
  75  -2.34528681e+02 -2.08857412e-02  1.38e+02 7.83e+00  9.89e+03  5.71e+02  3.10e+00 1.99e+02 5.71e+02  2.49e-01 7.99e-03   1880s
  76  -2.40521691e+02 -2.08857412e-02  1.42e+02 7.77e+00  9.83e+03  5.86e+02  3.09e+00 2.03e+02 5.86e+02  2.43e-01 7.51e-03   1904s
  77  -2.46339162e+02 -2.08857412e-02  1.45e+02 7.71e+00  9.76e+03  6.00e+02  3.08e+00 2.06e+02 6.00e+02  2.37e-01 7.11e-03   1929s
  78  -2.51996028e+02 -2.08857412e-02  1.48e+02 7.66e+00  9.70e+03  6.14e+02  3.06e+00 2.09e+02 6.14e+02  2.32e-01 6.75e-03   1953s
  79  -2.57500876e+02 -2.08857412e-02  1.51e+02 7.61e+00  9.65e+03  6.28e+02  3.05e+00 2.12e+02 6.28e+02  2.26e-01 6.41e-03   1978s
  80  -2.62856581e+02 -2.08857412e-02  1.54e+02 7.56e+00  9.60e+03  6.42e+02  3.04e+00 2.15e+02 6.42e+02  2.21e-01 6.10e-03   2002s
  81  -2.68066101e+02 -2.08857412e-02  1.57e+02 7.52e+00  9.55e+03  6.56e+02  3.03e+00 2.18e+02 6.56e+02  2.17e-01 5.80e-03   2027s
  82  -2.73142602e+02 -2.08857412e-02  1.60e+02 7.48e+00  9.50e+03  6.69e+02  3.02e+00 2.21e+02 6.69e+02  2.12e-01 5.53e-03   2052s
  83  -2.78093559e+02 -2.08857412e-02  1.63e+02 7.44e+00  9.45e+03  6.82e+02  3.01e+00 2.23e+02 6.82e+02  2.08e-01 5.29e-03   2076s
  84  -2.82916459e+02 -2.08857412e-02  1.65e+02 7.40e+00  9.41e+03  6.96e+02  3.01e+00 2.26e+02 6.96e+02  2.03e-01 5.05e-03   2101s
  85  -2.43017880e+02 -1.42438661e-02  1.42e+02 6.36e+00  8.20e+03  1.98e-01  3.00e+00 2.29e+02 7.09e+02  7.22e-01 1.41e-01   2125s
  86  -2.49482701e+02 -1.42438661e-02  1.46e+02 6.31e+00  8.14e+03  5.87e+02  3.11e+00 2.53e+02 5.87e+02  2.51e-01 8.15e-03   2150s
  87  -2.55736194e+02 -1.42438661e-02  1.49e+02 6.26e+00  8.08e+03  6.02e+02  3.09e+00 2.57e+02 6.02e+02  2.45e-01 7.67e-03   2175s
  88  -2.61813687e+02 -1.42438661e-02  1.53e+02 6.21e+00  8.03e+03  6.17e+02  3.08e+00 2.61e+02 6.17e+02  2.39e-01 7.27e-03   2199s
  89  -2.67718467e+02 -1.42438661e-02  1.56e+02 6.17e+00  7.98e+03  6.32e+02  3.07e+00 2.65e+02 6.32e+02  2.34e-01 6.89e-03   2224s
  90  -2.73459691e+02 -1.42438661e-02  1.59e+02 6.13e+00  7.93e+03  6.47e+02  3.05e+00 2.69e+02 6.47e+02  2.28e-01 6.54e-03   2249s
  91  -2.79040560e+02 -1.42438661e-02  1.62e+02 6.09e+00  7.89e+03  6.61e+02  3.04e+00 2.73e+02 6.61e+02  2.23e-01 6.21e-03   2274s
  92  -2.84475227e+02 -1.42438661e-02  1.65e+02 6.05e+00  7.84e+03  6.75e+02  3.03e+00 2.77e+02 6.75e+02  2.18e-01 5.92e-03   2298s
  93  -2.89771753e+02 -1.42438661e-02  1.68e+02 6.02e+00  7.80e+03  6.89e+02  3.02e+00 2.80e+02 6.89e+02  2.14e-01 5.64e-03   2323s
  94  -2.94927530e+02 -1.42438661e-02  1.71e+02 5.99e+00  7.77e+03  7.03e+02  3.02e+00 2.84e+02 7.03e+02  2.09e-01 5.38e-03   2348s
  95  -2.99960522e+02 -1.42438661e-02  1.74e+02 5.96e+00  7.73e+03  7.16e+02  3.01e+00 2.88e+02 7.16e+02  2.05e-01 5.14e-03   2372s
  96  -2.59649448e+02 -9.13491257e-03  1.50e+02 5.16e+00  6.78e+03  1.97e-03  3.00e+00 2.91e+02 7.30e+02  7.13e-01 1.34e-01   2397s
  97  -2.66374324e+02 -9.13491257e-03  1.54e+02 5.11e+00  6.73e+03  6.09e+02  3.10e+00 3.19e+02 6.09e+02  2.51e-01 8.22e-03   2421s
  98  -2.72802114e+02 -9.13491257e-03  1.58e+02 5.08e+00  6.68e+03  6.25e+02  3.09e+00 3.25e+02 6.25e+02  2.45e-01 7.65e-03   2446s
  99  -2.79049206e+02 -9.13491257e-03  1.61e+02 5.04e+00  6.64e+03  6.40e+02  3.07e+00 3.30e+02 6.40e+02  2.39e-01 7.24e-03   2470s
 100  -2.85118950e+02 -9.13491257e-03  1.65e+02 5.00e+00  6.60e+03  6.56e+02  3.06e+00 3.35e+02 6.56e+02  2.33e-01 6.87e-03   2495s
 101  -2.91020734e+02 -9.13491257e-03  1.68e+02 4.97e+00  6.56e+03  6.71e+02  3.05e+00 3.40e+02 6.71e+02  2.28e-01 6.52e-03   2520s
 102  -2.96763569e+02 -9.13491257e-03  1.71e+02 4.94e+00  6.52e+03  6.85e+02  3.04e+00 3.45e+02 6.85e+02  2.23e-01 6.20e-03   2545s
 103  -3.02350499e+02 -9.13491257e-03  1.74e+02 4.91e+00  6.49e+03  7.00e+02  3.03e+00 3.49e+02 7.00e+02  2.18e-01 5.89e-03   2570s
 104  -3.07795535e+02 -9.13491257e-03  1.77e+02 4.88e+00  6.46e+03  7.14e+02  3.02e+00 3.54e+02 7.14e+02  2.13e-01 5.62e-03   2595s
 105  -3.13101286e+02 -9.13491257e-03  1.80e+02 4.86e+00  6.43e+03  7.28e+02  3.01e+00 3.59e+02 7.28e+02  2.09e-01 5.36e-03   2620s
 106  -3.18270419e+02 -9.13491257e-03  1.83e+02 4.83e+00  6.40e+03  7.42e+02  3.01e+00 3.63e+02 7.42e+02  2.05e-01 5.12e-03   2645s
 107  -2.78839359e+02 -5.29296522e-03  1.61e+02 4.23e+00  5.67e+03  1.63e-01  3.00e+00 3.68e+02 7.56e+02  6.98e-01 1.24e-01   2669s
 108  -2.85624972e+02 -5.29296522e-03  1.64e+02 4.20e+00  5.63e+03  6.39e+02  3.09e+00 3.99e+02 6.39e+02  2.47e-01 7.94e-03   2693s
 109  -2.92109770e+02 -5.29296522e-03  1.68e+02 4.17e+00  5.59e+03  6.55e+02  3.08e+00 4.06e+02 6.55e+02  2.41e-01 7.39e-03   2718s
 110  -2.98411347e+02 -5.29296522e-03  1.71e+02 4.14e+00  5.56e+03  6.71e+02  3.06e+00 4.12e+02 6.71e+02  2.35e-01 7.00e-03   2742s
 111  -3.04539330e+02 -5.29296522e-03  1.75e+02 4.11e+00  5.53e+03  6.86e+02  3.05e+00 4.19e+02 6.86e+02  2.30e-01 6.64e-03   2766s
